"Cycle 0:#010:C1s Scan"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,5.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
1.200600e+03,3.170290e+03,,2.860800e+02,6.340580e+03
1.200700e+03,3.222700e+03,,2.859800e+02,6.445400e+03
1.200800e+03,3.205660e+03,,2.858800e+02,6.411320e+03
1.200900e+03,3.182960e+03,,2.857800e+02,6.365920e+03
1.201000e+03,3.279620e+03,,2.856800e+02,6.559240e+03
1.201100e+03,3.281080e+03,,2.855800e+02,6.562160e+03
1.201200e+03,3.264740e+03,,2.854800e+02,6.529480e+03
1.201300e+03,3.296360e+03,,2.853800e+02,6.592720e+03
1.201400e+03,3.316380e+03,,2.852800e+02,6.632760e+03
1.201500e+03,3.389540e+03,,2.851800e+02,6.779080e+03
1.201600e+03,3.359480e+03,,2.850800e+02,6.718960e+03
1.201700e+03,3.356030e+03,,2.849800e+02,6.712060e+03
1.201800e+03,3.290470e+03,,2.848800e+02,6.580940e+03
1.201900e+03,3.239160e+03,,2.847800e+02,6.478320e+03
1.202000e+03,3.291060e+03,,2.846800e+02,6.582120e+03
1.202100e+03,3.159870e+03,,2.845800e+02,6.319740e+03
1.202200e+03,3.110470e+03,,2.844800e+02,6.220940e+03
1.202300e+03,2.874440e+03,,2.843800e+02,5.748880e+03
1.202400e+03,2.748740e+03,,2.842800e+02,5.497480e+03
1.202500e+03,2.694430e+03,,2.841800e+02,5.388860e+03
1.202600e+03,2.467530e+03,,2.840800e+02,4.935060e+03
1.202700e+03,2.361420e+03,,2.839800e+02,4.722840e+03
1.202800e+03,2.171080e+03,,2.838800e+02,4.342160e+03
1.202900e+03,1.974350e+03,,2.837800e+02,3.948700e+03
1.203000e+03,1.866310e+03,,2.836800e+02,3.732620e+03
1.203100e+03,1.767860e+03,,2.835800e+02,3.535720e+03
1.203200e+03,1.713390e+03,,2.834800e+02,3.426780e+03
1.203300e+03,1.589950e+03,,2.833800e+02,3.179900e+03
1.203400e+03,1.504460e+03,,2.832800e+02,3.008920e+03
1.203500e+03,1.428050e+03,,2.831800e+02,2.856100e+03
1.203600e+03,1.426950e+03,,2.830800e+02,2.853900e+03
1.203700e+03,1.378600e+03,,2.829800e+02,2.757200e+03
1.203800e+03,1.341460e+03,,2.828800e+02,2.682920e+03
1.203900e+03,1.306830e+03,,2.827800e+02,2.613660e+03
1.204000e+03,1.324520e+03,,2.826800e+02,2.649040e+03
1.204100e+03,1.268550e+03,,2.825800e+02,2.537100e+03
1.204200e+03,1.292140e+03,,2.824800e+02,2.584280e+03
1.204300e+03,1.299190e+03,,2.823800e+02,2.598380e+03
1.204400e+03,1.297700e+03,,2.822800e+02,2.595400e+03
1.204500e+03,1.264540e+03,,2.821800e+02,2.529080e+03
1.204600e+03,1.227460e+03,,2.820800e+02,2.454920e+03
1.204700e+03,1.227770e+03,,2.819800e+02,2.455540e+03
1.204800e+03,1.280130e+03,,2.818800e+02,2.560260e+03
1.204900e+03,1.159940e+03,,2.817800e+02,2.319880e+03
1.205000e+03,1.198380e+03,,2.816800e+02,2.396760e+03
1.205100e+03,1.234160e+03,,2.815800e+02,2.468320e+03
1.205200e+03,1.272750e+03,,2.814800e+02,2.545500e+03
1.205300e+03,1.251410e+03,,2.813800e+02,2.502820e+03
1.205400e+03,1.227530e+03,,2.812800e+02,2.455060e+03
1.205500e+03,1.210680e+03,,2.811800e+02,2.421360e+03
1.205600e+03,1.243470e+03,,2.810800e+02,2.486940e+03
1.205700e+03,1.224830e+03,,2.809800e+02,2.449660e+03
1.205800e+03,1.231840e+03,,2.808800e+02,2.463680e+03
1.205900e+03,1.231900e+03,,2.807800e+02,2.463800e+03
1.206000e+03,1.211610e+03,,2.806800e+02,2.423220e+03
1.206100e+03,1.172180e+03,,2.805800e+02,2.344360e+03
1.206200e+03,1.274470e+03,,2.804800e+02,2.548940e+03
1.206300e+03,1.287800e+03,,2.803800e+02,2.575600e+03
1.206400e+03,1.216280e+03,,2.802800e+02,2.432560e+03
1.206500e+03,1.172840e+03,,2.801800e+02,2.345680e+03
1.206600e+03,1.234800e+03,,2.800800e+02,2.469600e+03
1.206700e+03,1.247480e+03,,2.799800e+02,2.494960e+03
1.206800e+03,1.244700e+03,,2.798800e+02,2.489400e+03
1.206900e+03,1.236950e+03,,2.797800e+02,2.473900e+03
1.207000e+03,1.251570e+03,,2.796800e+02,2.503140e+03
1.207100e+03,1.171540e+03,,2.795800e+02,2.343080e+03
1.207200e+03,1.235310e+03,,2.794800e+02,2.470620e+03
1.207300e+03,1.177650e+03,,2.793800e+02,2.355300e+03
1.207400e+03,1.175830e+03,,2.792800e+02,2.351660e+03
1.207500e+03,1.180590e+03,,2.791800e+02,2.361180e+03
1.207600e+03,1.245350e+03,,2.790800e+02,2.490700e+03
