"Cycle 0:#010:XPS Survey"
,Characteristic Energy eV,1.486680e+03,Acquisition Time s,1.000000e-01
Name,,
Position,,
FWHM,,
Area,,
Lineshape,,
K.E.,Counts,,B.E.,CPS
4.366000e+02,5.825130e+03,,1.050080e+03,5.825130e+04
4.376000e+02,5.854090e+03,,1.049080e+03,5.854090e+04
4.386000e+02,5.880860e+03,,1.048080e+03,5.880860e+04
4.396000e+02,5.912440e+03,,1.047080e+03,5.912440e+04
4.406000e+02,5.915930e+03,,1.046080e+03,5.915930e+04
4.416000e+02,5.912840e+03,,1.045080e+03,5.912840e+04
4.426000e+02,5.943550e+03,,1.044080e+03,5.943550e+04
4.436000e+02,5.934270e+03,,1.043080e+03,5.934270e+04
4.446000e+02,5.851200e+03,,1.042080e+03,5.851200e+04
4.456000e+02,6.124960e+03,,1.041080e+03,6.124960e+04
4.466000e+02,6.019430e+03,,1.040080e+03,6.019430e+04
4.476000e+02,5.977950e+03,,1.039080e+03,5.977950e+04
4.486000e+02,6.145630e+03,,1.038080e+03,6.145630e+04
4.496000e+02,5.942940e+03,,1.037080e+03,5.942940e+04
4.506000e+02,6.006830e+03,,1.036080e+03,6.006830e+04
4.516000e+02,6.039440e+03,,1.035080e+03,6.039440e+04
4.526000e+02,6.006080e+03,,1.034080e+03,6.006080e+04
4.536000e+02,6.073860e+03,,1.033080e+03,6.073860e+04
4.546000e+02,6.001730e+03,,1.032080e+03,6.001730e+04
4.556000e+02,6.149970e+03,,1.031080e+03,6.149970e+04
4.566000e+02,6.306030e+03,,1.030080e+03,6.306030e+04
4.576000e+02,6.186130e+03,,1.029080e+03,6.186130e+04
4.586000e+02,6.197820e+03,,1.028080e+03,6.197820e+04
4.596000e+02,6.186600e+03,,1.027080e+03,6.186600e+04
4.606000e+02,6.392620e+03,,1.026080e+03,6.392620e+04
4.616000e+02,6.334550e+03,,1.025080e+03,6.334550e+04
4.626000e+02,6.402290e+03,,1.024080e+03,6.402290e+04
4.636000e+02,6.389520e+03,,1.023080e+03,6.389520e+04
4.646000e+02,6.320250e+03,,1.022080e+03,6.320250e+04
4.656000e+02,6.361760e+03,,1.021080e+03,6.361760e+04
4.666000e+02,6.426670e+03,,1.020080e+03,6.426670e+04
4.676000e+02,6.532870e+03,,1.019080e+03,6.532870e+04
4.686000e+02,6.470330e+03,,1.018080e+03,6.470330e+04
4.696000e+02,6.523990e+03,,1.017080e+03,6.523990e+04
4.706000e+02,6.382480e+03,,1.016080e+03,6.382480e+04
4.716000e+02,6.403210e+03,,1.015080e+03,6.403210e+04
4.726000e+02,6.441660e+03,,1.014080e+03,6.441660e+04
4.736000e+02,6.365110e+03,,1.013080e+03,6.365110e+04
4.746000e+02,6.436570e+03,,1.012080e+03,6.436570e+04
4.756000e+02,6.320500e+03,,1.011080e+03,6.320500e+04
4.766000e+02,6.379990e+03,,1.010080e+03,6.379990e+04
4.776000e+02,6.528950e+03,,1.009080e+03,6.528950e+04
4.786000e+02,6.659470e+03,,1.008080e+03,6.659470e+04
4.796000e+02,6.883700e+03,,1.007080e+03,6.883700e+04
4.806000e+02,6.814940e+03,,1.006080e+03,6.814940e+04
4.816000e+02,7.129760e+03,,1.005080e+03,7.129760e+04
4.826000e+02,6.990670e+03,,1.004080e+03,6.990670e+04
